Product,Price
"<selenium.webdriver.remote.webelement.WebElement (session=""dd9f3aec97f60a02fc7944b34d581c58"", element=""8c077b83-1a50-4871-95dc-1c1bb4332926"")>",129
"<selenium.webdriver.remote.webelement.WebElement (session=""dd9f3aec97f60a02fc7944b34d581c58"", element=""af20ba4e-c72b-4be9-9724-88430a72b8a4"")>",186
"<selenium.webdriver.remote.webelement.WebElement (session=""dd9f3aec97f60a02fc7944b34d581c58"", element=""2293e696-946e-487b-a069-995242a53d69"")>",224
"<selenium.webdriver.remote.webelement.WebElement (session=""dd9f3aec97f60a02fc7944b34d581c58"", element=""e888af37-1143-4dc2-a984-74bd455b64ea"")>",119
"<selenium.webdriver.remote.webelement.WebElement (session=""dd9f3aec97f60a02fc7944b34d581c58"", element=""be6ebd1e-ef88-443c-95bf-91cfc89adb5e"")>",265
"<selenium.webdriver.remote.webelement.WebElement (session=""dd9f3aec97f60a02fc7944b34d581c58"", element=""981b5130-75fb-44d9-b6c6-6e8edcd8bcff"")>",90
"<selenium.webdriver.remote.webelement.WebElement (session=""dd9f3aec97f60a02fc7944b34d581c58"", element=""51485b54-3b64-4343-bb2d-671ece7c5871"")>",159
"<selenium.webdriver.remote.webelement.WebElement (session=""dd9f3aec97f60a02fc7944b34d581c58"", element=""04c76230-dd73-4c82-8bf0-3a2358fbfc3c"")>",269
"<selenium.webdriver.remote.webelement.WebElement (session=""dd9f3aec97f60a02fc7944b34d581c58"", element=""6899ac6b-827c-442b-a1ba-aa9aa42df583"")>",119
"<selenium.webdriver.remote.webelement.WebElement (session=""dd9f3aec97f60a02fc7944b34d581c58"", element=""c41558a2-309f-4a42-8a9f-43dd2e6d8ce0"")>",129
"<selenium.webdriver.remote.webelement.WebElement (session=""dd9f3aec97f60a02fc7944b34d581c58"", element=""d879fdf0-b0c6-40c3-989f-7a2a9c63a6ac"")>",75
"<selenium.webdriver.remote.webelement.WebElement (session=""dd9f3aec97f60a02fc7944b34d581c58"", element=""65c66381-f41b-4d42-a572-b887eb411572"")>",339
"<selenium.webdriver.remote.webelement.WebElement (session=""dd9f3aec97f60a02fc7944b34d581c58"", element=""af678d3c-303a-430d-9823-06efcf1ad126"")>",124
"<selenium.webdriver.remote.webelement.WebElement (session=""dd9f3aec97f60a02fc7944b34d581c58"", element=""e8b4ecd1-be7a-4f62-8a3b-764784414f09"")>",248
"<selenium.webdriver.remote.webelement.WebElement (session=""dd9f3aec97f60a02fc7944b34d581c58"", element=""29e32f0c-39ce-42f9-ba08-188737848095"")>",289
"<selenium.webdriver.remote.webelement.WebElement (session=""dd9f3aec97f60a02fc7944b34d581c58"", element=""30604f21-b490-4275-92c3-17fbc993b8f8"")>",99
