SUSTANCIA ACTIVA,Función,"Directiva/
Reglamento",Inclusión,Caducidad,"Principios
Uniformes",Condiciones Anexo A
"Prórroga
Prórroga
Renovación",,"2021/745
2022/814
2022/2315",,"31/05/2022
31/05/2023
28/02/2038",28/05/2022,h
"Hexitiazox
Prórroga
Prórroga",AC,"2011/46/UE
2018/1266
2020/2007",1/6/2011,"31/5/2021
31/05/2024
31/08/2024",31/5/2015,--
"Hidracida maleica
Renovación",FR,"2003/31/CE
2017/1506",1/11/2017,31/10/2032,1/2/2018,--
"Hidrogenocarbonato de potasio
Prórroga
Renovación",FU,"2008/127/CE
2017/195
2021/1452",1/9/2009,"31/8/2019
31/08/2020
31/10/2026",--,--
Hidrogenocarbonato de sodio,FU,2020/1263,1/10/2020,1/10/2035,,Sustancia de bajo riesgo
"Himexazol
Prórroga
Prórroga",FU/IN,"2011/5/UE
2018/1266
2023/918",1/6/2011,"31/5/2021
31/05/2023
31/08/2026",31/5/2015,"Semillas pildoradas de remolacha
azucarera en instalaciones para
tratamiento profesional de
semillas"
"Imazalil
Prórroga",FU,"705/2011
2019/291",1/1/2012,"31/12/2021
31/12/2024",31/12/2015,--
"Imazamox
Renovación
Prórroga",HB,"2003/23/CE
2017/1531
2020/2007","1/7/2003
1/11/2017","31/10/2024
31/01/2025",1/2/2018,Candidata a la sustitución
"Ipconazol
Modificación
Prórroga",FU,"2014/571
2020/1295
2020/2007",1/9/2014,"31/8/2024
30/11/2024",--,"--
Candidata a la sustitución"
Iprovalicarb,FU,2016/147,1/4/2016,31/3/2031,1/7/2016,--
"Isaria fumosorosea
(antes Paecilomyces fumosoroseus)
Cepa Apopka 97",IN,2015/306,1/1/2016,31/12/2030,1/4/2016,Sustancia de bajo riesgo
Isofetamida,FU,2016/1425,15/9/2016,15/9/2026,--,--
"Isoxaben
Prórroga",HB,"2011/32/UE
2018/1266",1/6/2011,"31/5/2021
31/05/2024",31/5/2015,--
"Isoxaflutol
Prórroga
Prórroga
Prórroga
Prórroga
Renovación",HB,"2003/68/CE
823/2012
2016/950
2017/841
2018/917
2019/717",1/10/2003,"31/7/2018
31/7/2019
31/07/2034","31/3/2005
1/11/2019",--
